Actual,Predicted
"Former First Lady Hillary Clinton has not announced whether or not she will run for President .Her husband says he will support her wishes no matter what - but will take a back-seat role if and when she begins her campaign .During her 2008 campaign, it was reported that his staffers clashed with her team .","former US President Bill Clinton says he believes he should take a more backstage role should his wife, Hillary, decide to run for President. In an interview with Town & Country Magazine, the 68-year-old revealed that he believes he has lost his natural flair for political campaigning, adding that becoming a grandparent to his daughter Chelsea's six-month-old daughter Charlotte has tamed the angry side of his personality which once helped to propel him to victory. 'I've told Hillary that I don't think I'm good [at campaigning] anymore because I'm not mad at anybody. I'm a grandfather, and I got to see"
Liverpool beat Newcastle 2-0 in the Premier League on Monday night .Raheem Sterling and Joe Allen saw off the Magpies at Anfield .Liverpool are four points behind fourth-placed Manchester City .READ: Jordan Henderson hopes Liverpool can turn up heat on Man City .READ: Rodgers will talk to Raheem Sterling about his behaviour .,"Liverpool boss Brendan Rodgers vowed not to give up on Champions League qualification after a convincing 2-0 win over Newcastle. The Reds moved within four points of the Barclays Premier League top four after goals from Raheem Sterling and Joe Allen saw off the struggling Magpies at Anfield. With fading champions Manchester City now looking vulnerable in fourth, Liverpool's hopes - which took a hefty blow in back-to-back losses to Manchester United and Arsenal - could have been reignited. Raheeem Sterling wheels away in celebration after scoring Liverpool's opener. Rodgers said: 'The players and myself are very motivated to do the best"
"The explosion at the Fresno County Sherrif's gun range happened on a Pacific Gas & Electric Co pipe carrying natural gas .An equipment operator and a group of jail inmates were expanding a road alongside Highway 99, which was closed after explosion for three hours .Ten inmates and the operator were hospitalized, three of whom were in critical condition .Three inmates were evaluated and sent back to jail and two deputies were being evaluated for ringing ears and exposure to the hot blast .California Public Utilities Commission said it is investigating the explosion .","A large gas pipeline exploded into a tower of fire on Friday in Central California, closing both directions of a major highway and injuring at least 15 people, four of them critically, authorities said. It was not clear what caused the explosion at the Fresno County Sheriff's gun range that brought traffic in the area to a halt. The explosion on a Pacific Gas & Electric Co. pipe carrying natural gas happened while an equipment operator and a group of county jail inmates were expanding a road alongside Highway 99, according to Fresno County Sheriff Margaret Mims. Scroll down for video. A fireball erupts after a large gas pipeline exploded in"
"Annegret Raunigk, 65, from Berlin, is pregnant with quadruplets .Pregnant following artificial insemination using donated sperm and eggs .Refused 'selective reduction' abortion and will keep all four babies .","German Annegret Raunigk, already has 13 children, and her remarkable story will be featured in a TV documentary. Her latest pregnancy was the result of artificial insemination using both donated sperm and eggs. Scroll down for video. Annegret Raunigk, a primary school teacher from Berlin, will create medical history when she becomes the oldest mother of four in a single birth in the world. Ms Raunigk, who is in the 21st week of her pregnancy, said she was ‘shocked’ when an ultrasound scan showed she was carrying quadruplets. Her gynaecologist initially mentioned the possibility of a's"
Project Fi will be hosted through Sprint Corp and T-Mobile's networks .It costs $20 for basic service and unused data is paid back to customer .The invitation-only service will work only on Nexus 6 phones in the US .Numbers will live in the cloud so users can talk on any connected tablet .,"Google launched a new U.S. wireless service today that switches between Wi-Fi and cellular networks. Google is already the world’s most popular phone software provider, and a pay-TV operator - and now it wants to be your mobile network carrier. The service, called 'Project Fi,' debuted today, about two months after Google revealed its plans to expand its ever-growing empire into providing wireless connections for smartphones. Google is selling the basic phone service for $20 a month and will only charge customers for the amount of cellular data that they use each month, instead of a flat rate. Each gigabyte of data will cost $10 a month. That means a customer"
Tiger Woods has made his first public appearance for 60 days .He had been on hiatus to recover from injury and a dip in form .Woods warmed up at the Augusta course ahead of the 2015 Masters .The 39-year-old was given a warm welcome back by the crowd .,"Tiger Woods declared himself ready to compete for a fifth Masters title after completing 11 holes of practice at Augusta National on Monday. Woods has started just two events in 2015, shooting a career-worst score of 82 to miss the cut in the first of them and withdrawing through injury after just 11 holes of the second on February 5. That led to the 14-time major winner taking a break from competition to work on his game, during which time he dropped outside the world's top 100 for the first time since September 1996, a slide which continued on Monday as he fell from 104th to 111th. Tiger Woods returned to action as he warmed up"
Travellers stopping at the St. Cloud airport in Minnesota can hunt turkey .Pittsburgh airport offers deer hunting permits on its 800 acres of land .San Francisco offers its guests a choice of two yoga rooms to unwind in .,"Long, multi-stop air journeys needn't be a bore. Instead of attempting to sleep curled up in an uncomfortable chair under strobe lighting, long-haul travellers have never had more choice when it comes to making the most of a layover. From sun salutations in San Francisco to drinking at a swim-up bar in a hot spring in Iceland, airports are offering ever more diverse activities, and can be the gate-way to some of the world's most incredible attractions. Here, Mail Online Travel reveals the best - and most bizarre things you can do with a couple of spare hours at an airport. While firearms are strictly prohibited, hunting fans can"
Antitrust chief  said Gazprom is barring EU clients from selling on its gas .Russian Foreign Minister Sergei Lavrov said charges were 'unacceptable''Era of Kremlin-backed  economic blackmail draws to a close' - Lithuania .,"The European Union launched a. legal attack on Gazprom on Wednesday, stoking tensions. with Moscow as it accused the Russian gas giant of overcharging. buyers in Eastern Europe and hindering competition. European Commission antitrust chief Margrethe Vestager said. Gazprom was barring EU clients from selling on its gas to other. states - a particular concern in recent efforts to aid Ukraine - and pressuring governments to back its pipeline interests. Russian Foreign Minister Sergei Lavrov said that the charges were 'absolutely unacceptable'. The European Union launched a legal attack on Gazprom on Wednesday, stoking tensions with Moscow as"
"Right-wing groups want court to let them sue the IRS in a class-action lawsuit for violating their constitutional right to equal treatment .IRS applied different criteria to right-wing groups, holding up their applications for years while liberal organizations skated through .Obama administration fought the release of a list of 298 groups it denied tax-exempt status beginning in 2010, citing privacy concerns .Judge in Cincinnati overruled the government and ordered the IRS to hand over the list .If court 'certifies' class-action status, the tea party groups will be free to demand emails, phone records and other documents .","A federal judge has ordered the Internal Revenue Service to hand over a list of the 298 tea party organizations that it targeted with broad and often intrusive questions when they applied for nonprofit tax-exempt status. The decision from U.S. District Judge Susan Dlott means right-wing groups are a step closer to being allowed to pursue a class-action lawsuit against the IRS. The agency has admitted playing political favorites with the tax code beginning in 2010, when it began applying extra scrutiny to groups with red-flag words like 'patriots' or 'tea party' in their names. While those organizations' applications were held up for years, liberal groups sailed through the process."
Heather Mack jailed for 10 years over mother's murder in Bali .Boyfriend Tommy Schaefer sentenced to 18 years in prison for the attack .Mack gave birth to the couple's daughter last month .,"Heather Mack, 19, who gave birth to her own daughter just weeks ago, was found guilty with her 21-year-old boyfriend, Tommy Schaefer, of killing Sheila von Wiese-Mack on the Indonesian island last August. Schaefer was sentenced to 18 years in prison for battering von Wiese-Mack to death in room 317 of the St. Regis Bali Resort. Schaefer had claimed he killed his girlfriend's mother in self-defense after a violent argument erupted over the young couple's relationship. The beaten body of von Wiese-Mack was found in a large silver suitcase that the couple had loaded in"
"John Higgins defeated Judd Trump 5-4 at the China Open in Beijing .He will play defending champion Ding Junhui in the quarter finals .There were also wins for Mark Selby, Shaun Murphy and Kurt Maflin .","John Higgins narrowly defeated Judd Trump 5-4 to move into the quarter-finals of the China Open, where he will face home favourite and defending champion Ding Junhui. The veteran Scot recovered from losing the opening frame to move 4-2 ahead, but both players were struggling for rhythm in Beijing. Trump narrowed the gap and a break of 68 helped the UK Championship finalist take the match to a decider, where Higgins prevailed, after overturning a 59-point deficit. John Higgins moved into the quarter finals of the China Open with a 5-4 victory over Judd Trump. Trump had a 59"
"Deal between Iran and six world powers has given Iranians hope, writes Ghanbar Naderi .Lifting of international sanctions a possibility, Iranians hope for better living conditions, he adds .People will likely keep President Rouhani's ""moderate"" government in power, Naderi writes .","Tehran, Iran (CNN)There is a Persian proverb that says: ""A good year is determined by its spring."" For many Iranians, the historic decision by Tehran and six world powers -- the United States, Britain, France, Germany, Russia and China -- to continue nuclear negotiations under a ""joint comprehensive plan of action"" is an indication that this year's Norouz, the Persian New Year that started on March 21, will be a superb one indeed. Although edgy hardliners may now try to play games and complain the preliminary agreement is not what they had hoped, for many people it shows excellent progress and that's what they want. It paves the way"
Sam Allardyce had his chance with West Ham but has failed to take it .Allardyce's reputation is that of a man who guarantees top-flight survival .Yet West Ham have been playing relegation football since Christmas .They must go to the Olympic Stadium with more than survival as the aim .Napoli manager Rafael Benitez could be persuaded back to English football .,"Jurgen Klopp rejected the overtures of West Ham United after handing in his notice at Borussia Dortmund. No matter, it was worth a try. Now on to the next one. If Rafael Benitez wants to return to English football after leaving Napoli maybe he can be persuaded to take over a project that includes a move to the iconic Olympic Stadium in a year's time. West Ham need a coach of high ambition to underline the size of the venture. Sam Allardyce isn't that man. He had his chance and did not take it. Allardyce has often talked of the qualities he could bring to an elite club, but the"
"The Burmese capital was moved from Yangon (Rangoon) to Naypyidaw, inexplicably, about a decade ago .Despite multi-million dollar efforts to build up the city, foreigners are not keen to visit and locals refuse to relocate .The official numbers reveal a population of 924,000, but rarely have people been photographed walking outside .","The city of Naypyidaw is shrouded in secrecy. It first became the capital of Myanmar a decade ago, after the government decided to move the capital from Yangon (also known as Rangoon) with minimal explanation. Since then, although developed to be the size of 120 Manhattans and to have space for up to one million residents, it remains a relative ghost town. Scroll down for video. Myanmar's newly-built capital city, Naypyidaw, is shrouded in secrecy. Built mainly for government staff, locals only come to live in the city, which looks more like no man's"
"Francis Pusok, 30, was arrested Thursday after a hours long chase with police in San Bernardino County, California .A news helicopter following the chase recorded police tasering Pusok, putting him in handcuffs and continuing to beat him after he was subdued .The father of three was released from jail on Sunday and spoke out on Monday about the scarring experience .In the wake of the attack, 10 officers have been placed on leave pending an investigation into whether excessive force was used against Pusok .","just a day after being released from jail, the man who was beaten by cops following a two-and-a-half hour chase on horseback has spoken out to detail his painful arrest. Helicopter cameras caught a swarm of cops kicking and punching 30-year-old Francis Pusok more than 80 times on Thursday, after he fled his southern California home when they tried to arrest him for identity theft charges. In an interview with NBC 4 on Monday, Pusok revealed that he had been handcuffed for '99 per cent' of the beating and that near the end of the scarring experience a deputy whispered into his ear '"
Cristiano Ronaldo's 300th goal for Real Madrid came at Rayo Vallecano .The Portugal man reached the landmark in only 288 games .He has scored more goals against Sevilla than any other opponent .READ: Ronaldo still some way behind Pele in the one-club scoring charts .,"Cristiano Ronaldo brought up another landmark in his glittering career with his 300th goal for Real Madrid in his 288th game during the 2-0 La Liga victory at Rayo Vallecano on Wednesday. The 30-year-old becomes only the third player in Madrid's history to achieve the feat and a breakdown of the statistics demonstrate just how relentless a goalscorer he is. Sevilla appear to be his favourite opponents, with Ronaldo netting an astonishing 18 times against them since signing for Madrid in 2009. Cristiano Ronaldo (left) scores his 300th goal for Real Madrid in the 2-0 win at Rayo Vallecano. Ronaldo has netted 161 of his goals"
"Survivor Jeff Bauman stresses ""we will never replace the lives that were lost""A man who was at the finish line is glad Dzhokhar Tsarnaev is now a ""convicted killer""""Justice has been served today,"" says a once wounded police officer .","it had been almost two years since Dzhokhar Tsarnaev and his brother planted bombs at the Boston Marathon, setting off deadly explosions that wounded her and hundreds of others. In court last month, she testified that one of the blasts on that day in 2013 left her lying in the street, staring at her own bones. Now, jurors have found him guilty on all 30 counts he faced for the deadly bombings and their aftermath. But no verdict can ever totally make up for the pain, she said. ""I don't believe, however, that he should be held accountable for his actions. And I'm very thankful for each of the jury members that are"
"Aleksandr Glushko, 21,  drove for more than three miles while intoxicated .He was spotted by a railroad worker as he sped towards the crash site .Police also spotted the driver as he drunkenly looped back past them .Glushko was charged with a felony for driving under the influence of alcohol .","A drunken Alaskan man was arrested after he stole a forklift to retrieve his pickup truck which he'd crashed. Aleksandr Glushko, 21, of Delta Junction drove for more than three miles while intoxicated to retrieve the truck he'd just crashed. But his bright idea turned sour when an Alaskan Railroad worker spotted him at the wheel of the forklift driving by the crash site, according to The Fairbanks Daily News-Miner. Bad idea: The pickup truck driven by Aleksandr Glushko is pictured here after he crashed it in Fairbanks, Alaska, police said the 21-year-"
Byron Meth opened with a 74 on his Masters debut .Half of the players had a scoring average of 4.2 or higher on day one .Liverpool legend Kenny Dalglish will be present at the Masters this week .,"how good to welcome Padraig Harrington back to Augusta after a year’s absence, complete with his weird and wonderful practice-ground routines. On Friday, he was at it again, but my favourite moment remains his plaintive lament after a mediocre round: ‘I’m focusing so much on my focus I’m over-focused.’ Padraig Harrington hits a tee shot on the fourth hole during the second day of the Masters on Friday. METH ON THE RISE. Headline writers everywhere will be keeping fingers crossed that golf continues to prove an addiction for the highly rated US Public Links champion Byron Meth, who opened with"
"Manchester United beat Manchester City 4-2 at Old Trafford on Sunday .Ashley Young, Marouane Fellaini, Juan Mata and Chris Smalling all scored .Internet pranksters ripped into the Barclays Premier League champions .","Manchester United crushed Manchester City 4-2 at Old Trafford and sparked a string on viral images on Twitter. Sergio Aguero opened the scoring for City but Ashley Young, Marouane Fellaini, Juan Mata and Chris Smalling all struck before Aguero's second to all-but end the champions' Barclays Premier League title hopes. And the big win in the Manchester derby inspired Twitter users to produce a series of viral images which tended to pick fun at City's expense. David Moyes is labelled as a football genius for signing goalscorers Juan Mata and Marouane Fellaini. A screenshot from the Austin Power"
"Nico Rosberg was the last driver out of the pit-lane and was forced to turn in a quicker out-lap than he would have liked ahead of his final shot at pole .The German narrowly lost out  to his team-mate Lewis Hamilton .Rosberg was just 0.042secs slower than his Mercedes rival .Rosberg also said: 'Oh, come on, guys', over the team radio after he was informed he'd missed out on pole for Sunday's Chinese Grand Prix .","sport's propensity to play mind games with its protagonists was rarely more obviously stated than after qualifying for the Chinese Grand Prix, when Nico Rosberg cursed his Mercedes team. Hamilton, the world champion, was relaxed and delighted having taken pole but Rosberg, his team-mate, was grim-faced, demoralised and made his first public criticism of his team. Nico Rosberg will start behind pole-sitter Lewis Hamilton with Sebastian Vettel third on the grid in China. Rosberg cut a frustrated figure in the paddock after he missed out on pole to Hamilton by just 0.042secs. Rosberg was only four-hundredths of a second behind the"
"Diana's will is among those stored in an archive which is to be put online .In it she bequeathed £50,000 free of tax to her former butler Paul Burrell .The rest of her estate was divvied up between Princes William and Harry .Internet users can pay £10 to view the documents and millions of others .","The will of Princess Diana is among 41 million available to order at the click of a button. Diana’s final wishes for the disposal of her £21.4 million estate are among a vast archive of wills dating back to 1858 now available to view online. Those of Winston Churchill and George Orwell can also be seen. In her will, Diana’s butler Paul Burrell was bequeathed the sum of £50,000, free of inheritance tax. Scroll down for video. The will of Princess Diana is among 41 million available to order at the click of a button. Possessions including paintings and a clock were distributed among her 17 godchildren, while the rest went to her sons"
"Burlesque star, 42, is offering workshops at Canyon Ranch, Arizona .Learn how to 'strut' and skillfully remove garters, stockings and gloves .'Wellness experts will discuss sensuality, intimacy and sexual health .","burlesque queen Dita Von Teese is offering burlesque workshops at Canyon Ranch, a luxury health resort in Tucson, Arizona. With an emphasis on self-confidence boosting, the forty two-year-old fashion designer and author famous for her raunchy routines will run presentations and classes incorporating the principles of modern burlesque - the 'art form' she famously revived. Dita von Teese will offer guests at the Canyon Ranch an insight into the glamorous world of burlesque. Sensuality & the Art of the Teese with Dita Von Teese will invite female guests to unleash their inner divas with a"
"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .Organization claims that governments around the world are using the threat of terrorism to advance executions .The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","government around the world are using the threat of terrorism -- real or perceived -- to advance executions, Amnesty International alleges in its annual report on the death penalty. ""The dark trend of governments using the death penalty in a futile attempt to tackle real or imaginary threats to state security and public safety was stark last year,"" said Salil Shetty, Amnesty's Secretary General in a release. ""It is shameful that so many states around the world are essentially playing with people's lives -- putting people to death for 'terrorism' or to quell internal instability on the ill-conceived premise of deterrence."" The report, ""Death"
The controversy over Indiana's religious freedom law is complicated .Some factors you might have not considered .,"you probably have a position regarding the controversy over Indiana's religious freedom law. You applaud the growing chorus of companies blasting the law as an invitation for businesses to discriminate against gays and lesbians, using religion as a cover. Or, like Indiana Gov. Mike Pence, you are surprised at the backlash and maintain that it is basically a copy of a law that is already in the books at the federal level and 19 other states. The issue drives a wedge because, well, the debate over religious freedom and gay rights is always heated, but also because the interpretations and motives behind the law can be questioned. Whichever side you're on, here are five things you"
Paula Dunican paid £25 for the baby blue coat at her local branch of Asda .When she took it home she noticed a 'seeping' stain on the back of coat .She then discovered the reptile's crushed body on the garment's lining .The supermarket has apologised and offered her a £40 voucher and refund .,"mother was horrified to find a dead gecko stuck to the lining of a jacket she bought from Asda. Paula Dunican spent £25 on the baby blue coat at her local branch in Canterbury, Kent. But when the 49-year-old took it home to try on, she noticed a dark stain'seeping through' from the its lining. Inside, a four inch-long gecko was flattened, its scales imprinted onto the fabric. Paula Dunican was horrified when she found the body of a crushed lizard on the lining of a £25 coat from Asda. 'I noticed"
"Million-year-old star MWC 480 is 'brimming' with carbon-based molecules .Scientists say there is enough methyl cyanide  to fill all of Earth's oceans.As MWC 480 evolves it is likely the molecules will move closer to the star .Here, the conditions may be suitable for life to flourish, scientists believe .","For the first time, astronomers have found the building blocks of life in a distant early star system. Scientists detected the complex organic molecules in a disk of gas and dust around a star 455 light years away where planets are likely to be forming. The discovery is a boost for finding alien organisms and suggests the conditions that spawned life on Earth are not unique to our solar system. Scientists detected the complex organic molecules in a disc of gas around an infant star 455 light years away where planets are likely to be forming. The discovery is a boost for finding alien organisms and suggests the conditions that spawned life on Earth are not unique to our solar"
A Tory government would create a new principle to review SNP policies .Prime Minister to tell English voters SNP's  powers could impact their lives .There has been growing resentment at 'apartheid' between north and south .Cancer drugs are available on NHS in Scotland but not England and Wales .,"David Cameron will today risk infuriating the SNP by vowing to conduct an annual review of the fairness of the Scottish government’s policies on the rest of the UK. A Conservative government would create a new principle to ensure decisions by Holyrood do not have an ‘unforeseen detrimental effect’ for people south of the border, he will say. The Prime Minister will tell voters in England that new powers for the Scottish Parliament mean it ‘can now have a big impact on your job, your income, and investment in your area’. Mr Cameron will call the idea the ‘Carlisle Principle’ – named to reflect the sort of border communities in the rest of the UK that could be"
Washington couple's son began complaining of someone talking to him .One night they heard: 'Wake up little boy daddy's looking for you'Also believe  hacker has infiltrated the device's camera to watch their son .Tech experts warned baby monitors linked to internet are more vulnerable .,"A family overheard a terrifying message on their young son's baby monitor after the device and its camera were hacked. When the Washington couple's three-year-old had first began complaining of someone talking to him at night, his parents had put it down to their toddler's over-active imagination, reported CBS New York. That was until one night when they heard a strange man's voice come over the monitor to tell their son: 'Wake up little boy, daddy's looking for you.' A couple heard the terrifying message: 'Wake up little boy, daddy's looking for you' come through their 3-year-old son's baby"
"The man, known only as Xu, was keen to have a grandchild .He bought the 'daughter-in-law' for £1,311 at the beginning of 2014 .Both his son and the woman that Xu bought suffered from learning difficulties .After realising the young couple were not sleeping together, he began having sex with her himself .But when she failed to fall pregnant he decided to sell her on again .Xu is under arrest for human trafficking at Lianyungang in eastern China .","Chinese villager who was desperate to become a grandfather has been arrested for buying a wife for his son, then reselling her to another family after realising she was infertile. The man, known only as Xu, even tried to impregnate the 'daughter-in-law' himself after discovering his son had not slept with his wife a single time. Xu is currently under arrest for human trafficking by the police of Lianyungang city in eastern China, according to the People's Daily Online. Desperate for a grandchild, Xu (pictured) bought a wife for his son, who has learning difficulties."
"Nasa scientists in California have released new images of Ceres .They were taken by Dawn from a distance of 21,000 miles (33,000km)The spacecraft is beginning to move closer and closer to Ceres .And it will soon study the whole planet - including its mystery bright spots .","Nasa has released the first close-up views of the north pole of dwarf planet Ceres from the Dawn spacecraft. Dawn arrived on 6 March, the first time a spacecraft has orbited a dwarf planet, and is now preparing for the key science phase of the mission. However, the images have not yet revealed what the mystery ‘bright spots’ on the surface of the world are, which have gripped the attention of scientists and the public alike. Nasa scientists in California have released new images of Ceres (shown). They were taken by the Dawn spacecraft from a distance of 21,000 miles (33,000km), and are the highest-resolution views of Ceres so"
Atletico Madrid 0-0 Real Madrid: Click here for Martin Samuel's report .Jan Oblak was the difference between a defeat and a clean sheet .The Atletico goalkeeper denied Gareth Bale and James Rodriguez .READ: Mario Mandzukic the new Diego Costa for Atletico Madrid?,Atletico Madrid's Vicente Calderon has long been a fortress with no team scoring there in the Champions League for 663 minutes. Last season the now Chelsea goalkeeper Thibaut Courtois was the reason for that but now the man keeping the clean sheets is Jan Oblak. Sportsmail looks at the 22-year-old who has made Atletico fans forget about Courtois... and David De Gea. No one knew too much about him last season outside of Portugal and Slovenia so was it a gamble? You only have to look at his price tag to see how highly-rated he was. He cost €16million (£11.5m) and that is a
"A second ""Fifty Shades"" film will be released in 2017, a third in 2018 .Director Sam Taylor-Johnson won't be returning .","Universal announced Thursday that the sequel to the box office blockbuster will hit theaters on Feb. 10, 2017. The third film in the series will debut Feb. 9, 2018. The news came one day after The Hollywood Reporter reported exclusively that the husband of EL James, author of the ""Fifty Shades"" trilogy, will write the script for the second film. Niall Leonard, who is married and has two sons with the British author, is an author himself, in addition to being a screenwriter. James, whose real name is Erika Leonard, has been credited with keeping a strong amount of creative control when it comes to Universal's adaptations of her books, the second of which is titled"
Suspect Kenneth Morgan Stancil claimed he killed Ron Lane because the college employee made sexual advances to his 16-year-old brother .The murder suspect gave himself fascist face tattoos .Stancil also said he is a neo-Nazi who is concerned about the future of white children and hates 'race-mixing',"A neo-Nazi charged with killing a gay supervisor at a community college said he did so because he hates homosexuality. Stancil, who gave himself fascist face tattoos, is awaiting extradition from Florida to North Carolina, where he is accused of fatally shooting 44-year-old Ron Lane. Kenneth Morgan Stancil III, 20, told Raleigh's WRAL-TV on Wednesday that he killed Lane earlier this week in North Carolina because Lane had made sexual advances to Stancil's 16-year-old brother. Scroll down for video. Kenneth Morgan Stancil III, 20, claimed in a prison interview on Wednesday that"
"A brass lamp from the nurse's Derbyshire home is to go under the hammer .She is thought to have used it to write nursing notes after Crimean War .Lamp was passed on to servants and handed down through generations .It will be sold by Hansons in Etwall, Derbyshire, on June 26 .","The brass lamp is being sold at auction in June by auctioneers Hansons (above with model in period costume) A brass desk lamp used by Florence Nightingale as she wrote about her nursing experiences in the Crimean War is to be sold at auction. It was given as a gift to two sisters who worked as servants for the Nightingale family at Lea Hurst, near Matlock, Derbyshire. Dating back to around 1840, the 10in tall lamp will go under the hammer at Hansons in Etwall, Derbyshire, on June 26. After her experiences in the war Nightingale returned to Derbyshire, where she had spent her childhood, in the 18"
"Senator Bob Corker has countered Barack Obama's previous assertion .He claims congressional oversight 'doesn't mean there won't be a deal'Adds Congressional scrutiny is vital to make sure deal is not bad one .Congress must 'tease out and ask important questions' about the pact .Any nuclear agreement with Iran must also be approved, Corker says .The deal, announced Thursday, is scheduled to be finalized by June 30 .Senate Foreign Relations Committee is due to meet April 14 to consider Corker's legislation to ensure Congress debates and signs off any pact .","The chairman of the Senate Foreign Relations Committee has denied that partisan politics in Washington DC could derail America's landmark agreement to curb Iran's nuclear capabilities. Countering President Barack Obama's previous assertion, Senator Bob Corker, a Republican from Tennessee, said on Sunday that congressional oversight 'doesn't mean there won't be a deal'. The 62-year-old politician continued: 'We just set in place a process to ensure that if there's a deal, it's a deal that will stand the test of time, that will keep Iran from getting a nuclear weapon.' Making an appearance on Fox News Sunday, Corker said"
"Man United beat Man City 1-0 in Saturday's under 18 encounter .Callum Gribbin scored the winning goal at Moss Lane, Altrincham .The result leaves United two points behind leaders Middlesbrough .The 'real' Manchester derby takes place at Old Trafford on Sunday .","First blood to United after their Under 18s saw off City 1-0 in the'mini-derby'. Kits aside, this was probably as far removed from Sunday's big match as you could imagine. For a start, no less than 13 out of the 22 players on show at kick-off were English. Of those, 10 were Mancunian. Callum Gribbin was the matchwinner for Manchester United with a delightful free-kick. Ticket prices? Entry was free and close to 1,000 gathered on the seats and terraces of Moss Lane for a match that kicked off at 3pm on Saturday with half-and-half scarves nowhere to be seen"
Oliur Rahman took over from deposed mayor Lutfur Rahman yesterday .New Tower Hamlets First leader said borough still had deep-rooted racism .This is despite a judge's ruling which said group 'played the race card'Rahman's latest comments derided as 'ludicrous' by local Tory group .,"disgraced former mayor Lutfur Rahman (pictured) is said to have played the race card to silence opponents - and his deputy today reiterated claims there is deep seated racism in the borough of Tower Hamlets, in east London. A deputy of disgraced former mayor Lutfur Rahman yesterday appeared to blame the vote-rigging scandal on ‘institutional racism’. Oliur Rahman, who took over from the deposed leader yesterday, insisted there was deep-rooted racism within the East London borough of Tower Hamlets. His comment was at odds with a devastating legal ruling that condemned his predecessor for bribery and ballot fraud and found he had repeatedly ‘"
"Zuriel Oduwole is a 12-year-old filmmaker .To date, she has interviewed 14 heads of state .","Zuriel Oduwole isn't ""most kids."" When she gets ahead of her work, she packs her camera and microphones, jumps on a plane and interviews presidents instead. Born in California to a Nigerian father and a Mauritian mother, Oduwole is often described as ""the world's youngest filmmaker."" Aged 12, she already has four documentaries under her belt -- all of which focus on African issues. It all started three years ago when Oduwole decided to enter a school documentary-making competition with a film about the Ghana revolution. Jerry John Rawlings (Ghana) John Kufour (Ghana) Joyce Band"
"Video shows Cher Lair from Apex, North Carolina, cutting into a cake at her gender reveal party with family gathered around .She did not know the sex of her baby and gave the scan results to a baker .As she lifts up a slice of pink sponge, she can hardly believe her eyes and proceeds to scream out in excitement .The mother-of-six said that she and her husband, Stephen, had given up on ever having a daughter - their first is due in August .","This is the deafening moment a mother of six boys finds out she's finally having a girl after the seventh time trying. Video shows Cher Lair from Apex, North Carolina, cutting into a cake at her gender reveal party with family gathered around. She did not know the sex of her baby and gave the scan results to a baker. As she lifts up a slice of pink sponge, she can hardly believe her eyes and proceeds to scream out in excitement. After falling back in surprise, she then gets down on her knees repeatedly panting: 'Oh my God.' Bystanders can be heard cheering and clapping in the"
Ryan Giggs apologises for his eight-year affair with brother's wife .Manchester United legend rang his brother out of the blue after four years .Rhodri's wife Natasha aborted Ryan's baby just before marrying Rhodri .Natasha and Rhodri attempted to stay together but divorced in 2013 .Former footballer also had affair with Big Brother star Imogen Thomas .,"Manchester United star Ryan Giggs has apologised to his brother for the eight-year affair he had with his wife. His apology came nearly four years after bedding her for the last time. Ryan, 41, phoned Rhodri, 38, and the two brothers are now reconciling in an attempt to rebuild their relationship. Celebrity Big Brother star: Natasha Giggs had an eight-year affair with football legend Ryan Giggs. Reconciliation: Rhodri (left) and brother Ryan (right) have ended their four-year feud over the affair. A source told the Sun newspaper that 'Ryan rang Rhodri out"
The Bayern Munich boss  has yet to commit his future to the German giants .Pep Guardiola has been linked with a switch to Manchester City .Former Bayern boss Ottmar Hitzfeld says Lucien Favre should replace him .Borussia Monchengladbach set for Champions League football next year .,"former Bayern Munich manager Ottmar Hitzfeld believes the German giants should replace Pep Guardiola with Borussia Monchengladbach boss Lucien Favre. The Spaniard, who has been in the dugout at the Allianz Arena since last season, has yet to commit his future to Bayern beyond the end of his contract which expires at the end of the 2016-16 season. And Hitzfield believes Favre, whose Monchengladbach side currently sit fourth in the Bundesliga standings as they edge closer towards Champions League football next season, is the man to replace Guardiola should he leave Bayern. VIDEO Scroll down to see the goals from Monchengladbach's"
"Cheesy slogans could be detrimental to pupils, a researcher claimed .Carl Hendrick said glossy notices are often 'reductively misinterpreted'","Cheesy slogans such as ‘reach for the stars’ could be detrimental to pupils, it has been claimed. Carl Hendrick, head of learning and research at Wellington College, Berkshire, has attacked the ‘tidal wave of guff’ in classrooms. These ‘missives in mediocrity’ often tell pupils to ‘live your dream’ and ‘you can do it’ and ‘be all that you can be’. Cheesy slogans such as ‘reach for the stars’ on posters in schools could be detrimental to pupils, it has been claimed. Above, a stock image of a motivational poster. But the glossy notices are ‘of"
"The least known of the Dutch cities, The Hague was a village until 1806 .It owes its growth to Louis Bonaparte, Napoleon's brother, who ruled here .The city has a wealth of art, including Vermeer's 'Girl With A Pearl Earring'","Sauntering down leafy avenues past typical Dutch step-­gabled buildings, carpets of crocuses, the occasional cyclist whooshing quietly by and the sun bouncing off the canal, I can think of few more pleasant places to spend a spring weekend than The Hague. This is also prime territory for a gallery­ lover like me: the beautiful, elegant and not-­too-­big Mauritshuis was restored last year. This is also the home of Girl With A Pearl Earring, the 'Dutch Mona Lisa'. But I am not only here for the Vermeer, Rembrandt and Hals. Much more than"
